epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,3547.2,0.71642,0.44142,0.85307,0.94568,0.93228,0.98369,0.80706,0.71506,0.47603,0.87244,0.00108354,0.00108354,0.00108354
164,3568.84,0.72379,0.44196,0.85497,0.94227,0.95797,0.98523,0.81097,0.72547,0.45358,0.87695,0.00107789,0.00107789,0.00107789
165,3590.51,0.71619,0.44002,0.85552,0.95457,0.94867,0.98541,0.8066,0.72652,0.46431,0.87172,0.00107223,0.00107223,0.00107223
166,3612.23,0.71863,0.44387,0.85508,0.9488,0.93679,0.97903,0.79694,0.74106,0.51769,0.87471,0.00106657,0.00106657,0.00106657
167,3633.94,0.71207,0.44198,0.85186,0.93812,0.93002,0.97579,0.80758,0.70015,0.48636,0.87231,0.00106091,0.00106091,0.00106091
168,3655.66,0.71725,0.43514,0.84933,0.93665,0.93447,0.97122,0.77678,0.73164,0.51394,0.88067,0.00105526,0.00105526,0.00105526
169,3677.36,0.71063,0.43969,0.85422,0.94596,0.96163,0.98531,0.8042,0.73124,0.46135,0.87615,0.0010496,0.0010496,0.0010496
170,3699.04,0.69861,0.42446,0.84352,0.97345,0.94131,0.98656,0.81331,0.70543,0.47064,0.87362,0.00104394,0.00104394,0.00104394
171,3720.71,0.71652,0.43006,0.8487,0.96068,0.94808,0.98634,0.81063,0.728,0.45071,0.87173,0.00103829,0.00103829,0.00103829
172,3742.4,0.70145,0.43264,0.84783,0.96639,0.94131,0.98265,0.80489,0.71613,0.47182,0.87137,0.00103263,0.00103263,0.00103263
173,3764.13,0.71149,0.44064,0.85372,0.95697,0.94582,0.98433,0.80381,0.72058,0.48451,0.8759,0.00102697,0.00102697,0.00102697
174,3785.78,0.70538,0.42648,0.85096,0.9743,0.93002,0.9866,0.81375,0.71698,0.46476,0.87705,0.00102131,0.00102131,0.00102131
175,3807.45,0.70975,0.42279,0.84725,0.96774,0.94798,0.98655,0.81908,0.70588,0.44591,0.8711,0.00101566,0.00101566,0.00101566
176,3829.14,0.70372,0.43073,0.84039,0.95349,0.92099,0.983,0.80947,0.70382,0.47123,0.86991,0.00101,0.00101,0.00101
177,3850.83,0.70182,0.42706,0.85207,0.9632,0.94536,0.98565,0.80824,0.70726,0.44802,0.87209,0.00100434,0.00100434,0.00100434
178,3872.5,0.71504,0.43357,0.84717,0.94741,0.95937,0.98247,0.80664,0.71319,0.46136,0.87061,0.000998686,0.000998686,0.000998686
179,3894.19,0.70421,0.42015,0.84853,0.95106,0.92127,0.97846,0.80413,0.70958,0.49245,0.86925,0.000993029,0.000993029,0.000993029
